,hour_UT,Alt,GLat,GLon,MLat,MLon,MLT,DOY,SYM-H,P10.7,Kp,den_GRACE,den_NET
6438,8.943055555555556,486.6930000000002,-43.683,216.986,-41.01829147338867,-58.204063415527344,0.3717847188313802,262.0,-6.0,69.26975308641975,0.7,26888.7,32629.39091212221
6439,8.944444444444445,486.6350000000002,-43.365,216.975,-40.72005081176758,-58.38051986694336,0.3609174092610677,262.0,-6.0,69.26975308641975,0.7,26896.9,33004.833433479565
6440,8.945833333333333,486.5770000000002,-43.047,216.964,-40.42153930664063,-58.55542755126953,0.3504358927408854,262.0,-6.0,69.26975308641975,0.7,26834.0,33360.125857064515
6441,8.947222222222223,486.5169999999998,-42.729,216.953,-40.12276077270508,-58.72877502441406,0.3397908528645833,262.0,-6.0,69.26975308641975,0.7,26700.8,33691.48245258285
6442,8.948611111111111,486.4580000000005,-42.411,216.942,-39.8237190246582,-58.90058898925781,0.3289812723795572,262.0,-6.0,69.26975308641975,0.7,26892.7,33995.900968269416
6443,8.95,486.39699999999993,-42.093,216.931,-39.5244140625,-59.07087707519531,0.3188311258951823,262.0,-6.0,69.26975308641975,0.7,27148.1,34272.65172247493
6444,8.951388888888888,486.3370000000005,-41.775,216.92,-39.22484588623047,-59.239654541015625,0.3085138956705729,262.0,-6.0,69.26975308641975,0.7,27579.2,34519.85626688289
6445,8.952777777777778,486.27500000000055,-41.457,216.909,-38.92501068115234,-59.40694046020508,0.2980298360188802,262.0,-6.0,69.26975308641975,0.7,27886.0,34737.97570938504
6446,8.954166666666666,486.214,-41.139,216.897,-38.6251106262207,-59.57368469238281,0.2881383260091146,262.0,-6.0,69.26975308641975,0.7,28101.3,34928.25245359176
6447,8.955555555555556,486.152,-40.82,216.886,-38.32379913330078,-59.73849868774414,0.2781077067057291,262.0,-6.0,69.26975308641975,0.7,28326.3,35093.93018481096
6448,8.956944444444444,486.089,-40.502,216.874,-38.02337646484375,-59.90233612060547,0.2678761800130208,262.0,-6.0,69.26975308641975,0.7,28496.2,35236.21584151351
6449,8.958333333333332,486.02599999999984,-40.184,216.863,-37.72248840332031,-60.063751220703125,0.2580884297688802,262.0,-6.0,69.26975308641975,0.7,28609.7,35358.857123129885
6450,8.959722222222222,485.9620000000005,-39.866,216.851,-37.42154312133789,-60.22471618652344,0.248614501953125,262.0,-6.0,69.26975308641975,0.7,28591.7,35465.00947245742
6451,8.96111111111111,485.89800000000014,-39.547,216.839,-37.11937713623047,-60.38471221923828,0.2389355977376302,262.0,-6.0,69.26975308641975,0.7,28669.5,35559.27313263514
6452,8.962499999999999,485.8330000000005,-39.229,216.827,-36.81790542602539,-60.542850494384766,0.2291152954101562,262.0,-6.0,69.26975308641975,0.7,28745.2,35646.153529917414
